"Dept","NumPoints","Slope","Intercept","R-Val","P-Val","StdError"
"1",5985,-230.12973817234993,33317.583256645819,-0.27193014006172439,5.8969409938115968e-102,10.528683030104785
"2",5985,11.895436515728139,42981.613412032137,0.0085244859590743582,0.5096696443303752,18.040015335826251
"3",5985,98.986349395979488,5682.1053587237311,0.13974101955529875,1.7520619674474498e-27,9.0679600017888404
"4",5985,5.6514581272839175,25574.353332643899,0.0077254835475569338,0.55014091843377066,9.4571957933750053
"5",5904,-287.01616290252565,38144.89543057917,-0.28291010945798012,4.4534097167467537e-109,12.666108339575224
"6",5564,-28.681629550727564,6251.6918574043284,-0.1341528093605501,9.1899334034303892e-24,2.8408282010482853
"7",5985,-233.77687152580933,38067.894741181262,-0.15437901152207456,3.0445477592990878e-33,19.342645528580206
"8",5985,-51.929333503636009,33435.524548574438,-0.051520284504809902,6.6754024307674409e-05,13.013611747560228
"9",5915,52.106080288482318,17095.253906032111,0.056731508250585573,1.2668172081037318e-05,11.925047768920191
"10",5985,-16.679304581077755,19367.696678605651,-0.023203978166866372,0.072655134003111715,9.2904990002594214
"11",5984,1.4027500931442232,14464.35985843273,0.0024306971839729592,0.85088387752896366,7.4614796876421705
"12",5961,5.7352876640613193,3869.1145830749424,0.036278134644540987,0.0050900461143788605,2.046621764297536
"13",5985,39.849404209615187,28250.285791989034,0.044366510807316059,0.00059630333254167374,11.600566687525603
"14",5985,-113.44753594037643,21467.945288076058,-0.18508017977850189,2.8879802750636233e-47,7.7876596170841212
"15",0,0.0,0.0,0.0,0.0,0.0
"16",5985,205.23242284963388,2233.6322307787595,0.22611835562136623,2.9672278016848723e-70,11.430207702515286
"17",5963,-93.943884347771203,15859.647106936392,-0.23045524615796956,1.0271995753457768e-72,5.1377409789341737
"18",4598,-202.29509115205732,18409.0095379784,-0.25361978468504415,2.0541295166223375e-68,11.380862676046609
"19",3829,-0.67028953984577344,1699.6316884279126,-0.008325475745873433,0.60654455314204259,1.3013948964501154
"20",5619,-0.19408954737343195,5512.2485701463775,-0.00092411595806679201,0.94478558949679414,2.8023558352906552
"21",5985,-25.028448384894507,6514.5063388030931,-0.13885120070500712,3.7559172333416479e-27,2.3077957961564262
"22",5146,-35.130503407889471,12688.966401694555,-0.098991117676444987,1.1034132876590928e-12,4.9237874015399195
"23",5373,9.389593394487326,23318.932019805539,0.01060646535331477,0.43698012034618205,12.07880868014173
"24",5030,23.708896437699444,4866.4377329075569,0.097803137887674418,3.6170803764848122e-12,3.4023094103811826
"25",5910,-7.1324645486924911,9440.0689779420936,-0.020228318651861959,0.1199667971121388,4.586387239909171
"26",5337,-20.14840671228621,8821.0445340535643,-0.071675369236226541,1.5906615527536669e-07,3.8387083685614622
"27",5232,-17.442047271206636,2611.6455467502587,-0.27231217116968204,1.2750120323302858e-89,0.85221457664906552
"28",5695,-9.4496647897186374,1189.4215034872427,-0.3668369529272632,6.1794617135994809e-181,0.31760612537718202
"29",4938,0.61064527295362325,5558.8676196672031,0.0029910759131406331,0.83356397388555525,2.9058423290870383
"30",4921,31.408115609740239,2265.1237525081215,0.22957511968531427,7.2317106468820089e-60,1.8985469142597649
"31",5641,2.953231033321726,2147.1280739742069,0.026592036825798457,0.045809134329895723,1.4783973165501481
"32",5549,-29.499214879958654,8537.7250042639953,-0.090616309352039445,1.355838403049304e-11,4.3529590224974672
"33",5015,22.135275541814462,5076.8074424318711,0.095065970134812092,1.5212448024900611e-11,3.273705419370895
"34",4955,101.50818341580336,9639.5349636300816,0.20419570666931819,8.6198109386235547e-48,6.9146780075457599
"35",4927,14.885289156047826,2057.8732866587002,0.15174381848674645,9.0706751425491163e-27,1.381607274476895
"36",4925,17.184258424901266,1033.2524952331689,0.1622960085740949,2.0274035283317431e-30,1.4890583069966488
"37",2397,4.9055514179639914,2806.9920493813297,0.096304934450407859,2.3178305596554689e-06,1.0360081531028125
"38",5985,-66.891619003573794,65503.161693219743,-0.050327164418285761,9.8156421598712037e-05,17.161650414466745
"39",15,0.41940988981779675,-11.224117642417687,0.38999915936293078,0.15069796489411197,0.27464759825274904
"40",5985,-134.45965233210302,53198.786820119174,-0.11087222677372609,7.8254327093403823e-18,15.582023505535284
"41",5018,-1.2756186269205401,2005.242389684666,-0.0086242155296812461,0.5413452466842863,2.0883646607409285
"42",5953,-12.185438215614559,5964.0137250540201,-0.067248630450851776,2.0648327497885454e-07,2.3435729869023261
"43",11,0.0051214877923934018,1.0264898193740803,0.10307150207629956,0.76297864490082057,0.01647468144684355
"44",5093,-21.261399747932476,5891.4685531068499,-0.15150618860984666,1.5597287756219666e-27,1.9440946684707647
